#SUBENT      L0032017
#AUTHORS     H.Beil, R.Bergere, P.Carlos, A.Lepretre, 
#+           A.DeMiniac, A.Veyssiere
#REFERENCE   Nuclear Physics, Section A Vol.227, p.427
#YEAR        1974
#TITLE       A study of the photoneutron contribution to the giant
#+           dipole resonance in doubly even Mo isotopes
#REACTION    (42-MO-100(G,N)42-MO-99,,SIG)+(42-MO-100(G,N+P)41-NB-98,,SIG)
#QUANTITY    Cross section
#SUBP       L0032017 
# Energy (eV) Cross section (b)
1.38848e+08 3.65617e-17
1.39576e+08 2.96274e-17
1.40304e+08 2.40082e-17
1.41032e+08 1.94548e-17
1.4176e+08 1.5765e-17
1.42488e+08 1.2775e-17
1.43216e+08 1.03521e-17
1.43944e+08 8.38868e-18
1.44672e+08 6.79768e-18
1.454e+08 5.50842e-18
1.46128e+08 4.46369e-18
1.46856e+08 3.6171e-18
1.47584e+08 2.93108e-18
1.48312e+08 2.37517e-18
1.4904e+08 1.92469e-18
1.49768e+08 1.55965e-18
1.50496e+08 1.26385e-18
1.51224e+08 1.02414e-18
1.51952e+08 8.29905e-19
1.5268e+08 6.72504e-19
1.53408e+08 5.44956e-19
1.54136e+08 4.41599e-19
1.54864e+08 3.57845e-19
1.55592e+08 2.89976e-19
1.5632e+08 2.34979e-19
1.57048e+08 1.90412e-19
1.57776e+08 1.54299e-19
1.58504e+08 1.25034e-19
1.59232e+08 1.0132e-19
1.5996e+08 8.21037e-20
1.60688e+08 6.65318e-20
1.61416e+08 5.39133e-20
1.62144e+08 4.36881e-20
1.62872e+08 3.54021e-20
1.636e+08 2.86877e-20
1.64328e+08 2.32468e-20
1.65056e+08 1.88378e-20
1.65784e+08 1.5265e-20
1.66512e+08 1.23698e-20
1.6724e+08 1.00237e-20
1.67968e+08 8.12263e-21
1.68696e+08 6.58209e-21
1.69424e+08 5.33372e-21
1.70152e+08 4.32212e-21
1.7088e+08 3.50238e-21
1.71608e+08 2.83812e-21
1.72336e+08 2.29984e-21
1.73064e+08 1.86365e-21
1.73792e+08 1.51019e-21
1.7452e+08 1.22376e-21
1.75248e+08 9.91664e-22
1.75976e+08 8.03584e-22
1.76704e+08 6.51175e-22
1.77432e+08 5.27673e-22
1.7816e+08 4.27594e-22
1.78888e+08 3.46496e-22
1.79616e+08 2.80779e-22
1.80344e+08 2.27526e-22
1.81072e+08 1.84373e-22
1.818e+08 1.49405e-22
1.82528e+08 1.21069e-22
1.83256e+08 9.81067e-23
1.83984e+08 7.94997e-23
1.84712e+08 6.44217e-23
1.8544e+08 5.22034e-23
1.86168e+08 4.23025e-23
1.86896e+08 3.42793e-23
1.87624e+08 2.77779e-23
1.88352e+08 2.25095e-23
1.8908e+08 1.82403e-23
1.89808e+08 1.47809e-23
1.90536e+08 1.19775e-23
1.91264e+08 9.70584e-24
1.91992e+08 7.86502e-24
1.9272e+08 6.37333e-24
1.93448e+08 5.16456e-24
1.94176e+08 4.18504e-24
1.94904e+08 3.3913e-24
1.95632e+08 2.74811e-24
1.9636e+08 2.2269e-24
1.97088e+08 1.80454e-24
1.97816e+08 1.46229e-24
1.98544e+08 1.18495e-24
1.99272e+08 9.60213e-25
2e+08 7.78098e-25
