#SUBENT      L0021003
#AUTHORS     A.Veyssiere, H.Beil, R.Bergere, P.Carlos, 
#+           A.Lepretre
#REFERENCE   Nuclear Physics, Section A Vol.159, p.561
#YEAR        1970
#TITLE       Photoneutron cross sections of 208Pb and 197Au.
#REACTION    (79-AU-197(G,N)79-AU-196,,SIG)+(79-AU-197(G,N+P)78-PT-195,,SIG)
#QUANTITY    Cross section
#SUBP       L0021003 
# Energy (eV) Cross section (b)
1.3736e+08 8.27435e-25
1.3808e+08 6.01917e-25
1.388e+08 4.37863e-25
1.3952e+08 3.18523e-25
1.4024e+08 2.31709e-25
1.4096e+08 1.68557e-25
1.4168e+08 1.22616e-25
1.424e+08 8.9197e-26
1.4312e+08 6.48862e-26
1.4384e+08 4.72014e-26
1.4456e+08 3.43366e-26
1.4528e+08 2.49781e-26
1.46e+08 1.81703e-26
1.4672e+08 1.32179e-26
1.4744e+08 9.61538e-27
1.4816e+08 6.99469e-27
1.4888e+08 5.08828e-27
1.496e+08 3.70146e-27
1.5032e+08 2.69262e-27
1.5104e+08 1.95874e-27
1.5176e+08 1.42489e-27
1.5248e+08 1.03653e-27
1.532e+08 7.54023e-28
1.5392e+08 5.48513e-28
1.5464e+08 3.99015e-28
1.5536e+08 2.90263e-28
1.5608e+08 2.11151e-28
1.568e+08 1.53602e-28
1.5752e+08 1.11737e-28
1.5824e+08 8.12832e-29
1.5896e+08 5.91294e-29
1.5968e+08 4.30136e-29
1.604e+08 3.12902e-29
1.6112e+08 2.2762e-29
1.6184e+08 1.65582e-29
1.6256e+08 1.20452e-29
1.6328e+08 8.76228e-30
1.64e+08 6.37411e-30
1.6472e+08 4.63684e-30
1.6544e+08 3.37306e-30
1.6616e+08 2.45373e-30
1.6688e+08 1.78496e-30
1.676e+08 1.29847e-30
1.6832e+08 9.44568e-31
1.6904e+08 6.87125e-31
1.6976e+08 4.99848e-31
1.7048e+08 3.63614e-31
1.712e+08 2.6451e-31
1.7192e+08 1.92418e-31
1.7264e+08 1.39974e-31
1.7336e+08 1.01824e-31
1.7408e+08 7.40716e-32
1.748e+08 5.38833e-32
1.7552e+08 3.91973e-32
1.7624e+08 2.8514e-32
1.7696e+08 2.07425e-32
1.7768e+08 1.50891e-32
1.784e+08 1.09765e-32
1.7912e+08 7.98487e-33
1.7984e+08 5.80859e-33
1.8056e+08 4.22545e-33
1.8128e+08 3.0738e-33
