#SUBENT      L0002003
#AUTHORS     S.C.Fultz, R.L.Bramblett, J.T.Caldwell, N.A.Kerr
#REFERENCE   Physical Review Vol.127, p.1273
#YEAR        1962
#TITLE       PHOTONEUTRON CROSS-SECTION MEASUREMENTS ON
#+           GOLD USING NEARLY MONOCHROMATIC PHOTONS
#REACTION    (79-AU-197(G,N)79-AU-196,,SIG)+(79-AU-197(G,N+P)78-PT-195,,SIG)
#QUANTITY    Cross section
#SUBP       L0002003 
# Energy (eV) Cross section (b)
1.37736e+08 8.04376e-71
1.3846e+08 3.11091e-71
1.39184e+08 1.20314e-71
1.39908e+08 4.6531e-72
1.40632e+08 1.79958e-72
1.41356e+08 6.95982e-73
1.4208e+08 2.69169e-73
1.42804e+08 1.04101e-73
1.43528e+08 4.02607e-74
1.44252e+08 1.55707e-74
1.44976e+08 6.02194e-75
1.457e+08 2.32897e-75
1.46424e+08 9.00725e-76
1.47148e+08 3.48353e-76
1.47872e+08 1.34725e-76
1.48596e+08 5.21045e-77
1.4932e+08 2.01513e-77
1.50044e+08 7.79347e-78
1.50768e+08 3.01411e-78
1.51492e+08 1.1657e-78
1.52216e+08 4.50832e-79
1.5294e+08 1.74358e-79
1.53664e+08 6.74326e-80
1.54388e+08 2.60794e-80
1.55112e+08 1.00861e-80
1.55836e+08 3.90079e-81
1.5656e+08 1.50862e-81
1.57284e+08 5.83457e-82
1.58008e+08 2.25651e-82
1.58732e+08 8.72698e-83
1.59456e+08 3.37514e-83
1.6018e+08 1.30533e-83
1.60904e+08 5.04833e-84
1.61628e+08 1.95243e-84
1.62352e+08 7.55097e-85
1.63076e+08 2.92032e-85
1.638e+08 1.12943e-85
1.64524e+08 4.36804e-86
1.65248e+08 1.68933e-86
1.65972e+08 6.53344e-87
1.66696e+08 2.52679e-87
1.6742e+08 9.77231e-88
1.68144e+08 3.77942e-88
1.68868e+08 1.46168e-88
1.69592e+08 5.65302e-89
1.70316e+08 2.18629e-89
1.7104e+08 8.45544e-90
1.71764e+08 3.27012e-90
1.72488e+08 1.26471e-90
1.73212e+08 4.89125e-91
1.73936e+08 1.89168e-91
1.7466e+08 7.31602e-92
1.75384e+08 2.82945e-92
1.76108e+08 1.09429e-92
1.76832e+08 4.23212e-93
1.77556e+08 1.63676e-93
1.7828e+08 6.33015e-94
1.79004e+08 2.44817e-94
1.79728e+08 9.46824e-95
1.80452e+08 3.66182e-95
1.81176e+08 1.4162e-95
1.819e+08 5.47712e-96
1.82624e+08 2.11827e-96
1.83348e+08 8.19234e-97
1.84072e+08 3.16837e-97
1.84796e+08 1.22536e-97
1.8552e+08 4.73905e-98
1.86244e+08 1.83282e-98
1.86968e+08 7.08838e-99
1.87692e+08 2.74141e-99
1.88416e+08 1.06024e-99
1.8914e+08 4.10044e-100
1.89864e+08 1.58583e-100
1.90588e+08 6.13318e-101
1.91312e+08 2.37199e-101
1.92036e+08 9.17363e-102
1.9276e+08 3.54788e-102
1.93484e+08 1.37213e-102
1.94208e+08 5.3067e-103
1.94932e+08 2.05235e-103
1.95656e+08 7.93743e-104
1.9638e+08 3.06978e-104
1.97104e+08 1.18723e-104
1.97828e+08 4.59159e-105
1.98552e+08 1.77579e-105
1.99276e+08 6.86782e-106
2e+08 2.65611e-106
